time,altitude,velocity,acceleration,mass,horizontal_drift,horizontal_velocity,crosswind_force,fin_correction_angle_deg,fin_correction_force,pid_error,pid_p_term,pid_i_term,pid_d_term
0.000000,0.000000,0.000000,23.526683,0.750000,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,0.000012,0.023529,23.532238,0.749875,0.000000,0.000400,0.300000,-0.000917,-0.000064,-0.000000,-0.000000,-0.000000,-0.000016
0.002000,0.000047,0.047064,23.537791,0.749750,0.000001,0.000800,0.300000,-0.002752,-0.000192,-0.000001,-0.000000,-0.000000,-0.000048
0.003000,0.000106,0.070605,23.543343,0.749625,0.000002,0.001200,0.300000,-0.004588,-0.000320,-0.000002,-0.000000,-0.000000,-0.000080
0.004000,0.000188,0.094151,23.548893,0.749500,0.000003,0.001600,0.300000,-0.006424,-0.000448,-0.000003,-0.000000,-0.000000,-0.000112
0.005000,0.000294,0.117703,23.554442,0.749375,0.000005,0.001999,0.300000,-0.008260,-0.000577,-0.000005,-0.000000,-0.000000,-0.000144
0.006000,0.000424,0.141260,23.559989,0.749250,0.000007,0.002399,0.300000,-0.010097,-0.000705,-0.000007,-0.000000,-0.000000,-0.000176
0.007000,0.000577,0.164823,23.565534,0.749125,0.000010,0.002799,0.300000,-0.011935,-0.000833,-0.000010,-0.000000,-0.000000,-0.000208
0.008000,0.000753,0.188391,23.571078,0.749000,0.000013,0.003198,0.300000,-0.013772,-0.000961,-0.000013,-0.000001,-0.000000,-0.000240
0.009000,0.000954,0.211965,23.576620,0.748875,0.000016,0.003597,0.300000,-0.015610,-0.001090,-0.000016,-0.000001,-0.000000,-0.000272
0.010000,0.001177,0.235544,23.582161,0.748750,0.000020,0.003996,0.300000,-0.017449,-0.001218,-0.000020,-0.000001,-0.000000,-0.000304
0.011000,0.001425,0.259129,23.587700,0.748625,0.000024,0.004395,0.300000,-0.019288,-0.001347,-0.000024,-0.000001,-0.000000,-0.000336
0.012000,0.001696,0.282720,23.593237,0.748500,0.000029,0.004794,0.300000,-0.021128,-0.001475,-0.000029,-0.000001,-0.000000,-0.000368
0.013000,0.001990,0.306316,23.598773,0.748375,0.000034,0.005193,0.300000,-0.022968,-0.001603,-0.000034,-0.000001,-0.000000,-0.000400
0.014000,0.002308,0.329917,23.604307,0.748250,0.000039,0.005592,0.300000,-0.024808,-0.001732,-0.000039,-0.000002,-0.000000,-0.000431
0.015000,0.002650,0.353524,23.609840,0.748125,0.000045,0.005991,0.300000,-0.026649,-0.001860,-0.000045,-0.000002,-0.000000,-0.000463
0.016000,0.003015,0.377137,23.615371,0.748000,0.000051,0.006389,0.300000,-0.028490,-0.001989,-0.000051,-0.000002,-0.000000,-0.000495
0.017000,0.003404,0.400755,23.620900,0.747875,0.000058,0.006788,0.300000,-0.030332,-0.002118,-0.000058,-0.000002,-0.000000,-0.000527
0.018000,0.003817,0.424379,23.626428,0.747750,0.000065,0.007186,0.300000,-0.032174,-0.002246,-0.000065,-0.000003,-0.000000,-0.000559
0.019000,0.004253,0.448008,23.631954,0.747625,0.000072,0.007584,0.300000,-0.034017,-0.002375,-0.000072,-0.000003,-0.000000,-0.000591
0.020000,0.004713,0.471643,23.637479,0.747500,0.000080,0.007982,0.300000,-0.035860,-0.002503,-0.000080,-0.000003,-0.000000,-0.000623
0.021000,0.005196,0.495283,23.643002,0.747375,0.000088,0.008380,0.300000,-0.037703,-0.002632,-0.000088,-0.000004,-0.000000,-0.000655
0.022000,0.005703,0.518929,23.648523,0.747250,0.000097,0.008778,0.300000,-0.039547,-0.002761,-0.000097,-0.000004,-0.000000,-0.000686
0.023000,0.006234,0.542580,23.654043,0.747125,0.000106,0.009176,0.300000,-0.041391,-0.002890,-0.000106,-0.000004,-0.000000,-0.000718
0.024000,0.006788,0.566237,23.659561,0.747000,0.000115,0.009574,0.300000,-0.043236,-0.003018,-0.000115,-0.000005,-0.000000,-0.000750
0.025000,0.007367,0.589899,23.665078,0.746875,0.000125,0.009971,0.300000,-0.045081,-0.003147,-0.000125,-0.000005,-0.000000,-0.000782
0.026000,0.007968,0.613567,23.670592,0.746750,0.000135,0.010369,0.300000,-0.046926,-0.003276,-0.000135,-0.000005,-0.000000,-0.000814
0.027000,0.008594,0.637240,23.676106,0.746625,0.000146,0.010766,0.300000,-0.048772,-0.003405,-0.000146,-0.000006,-0.000000,-0.000845
0.028000,0.009243,0.660919,23.681617,0.746500,0.000156,0.011164,0.300000,-0.050619,-0.003534,-0.000156,-0.000006,-0.000000,-0.000877
0.029000,0.009916,0.684604,23.687127,0.746375,0.000168,0.011561,0.300000,-0.052466,-0.003663,-0.000168,-0.000007,-0.000000,-0.000909
0.030000,0.010612,0.708293,23.692635,0.746250,0.000180,0.011958,0.300000,-0.054313,-0.003792,-0.000180,-0.000007,-0.000000,-0.000941
0.031000,0.011332,0.731989,23.698142,0.746125,0.000192,0.012355,0.300000,-0.056161,-0.003921,-0.000192,-0.000008,-0.000000,-0.000973
0.032000,0.012076,0.755690,23.703647,0.746000,0.000204,0.012752,0.300000,-0.058009,-0.004050,-0.000204,-0.000008,-0.000000,-0.001004
0.033000,0.012843,0.779396,23.709150,0.745875,0.000217,0.013148,0.300000,-0.059857,-0.004179,-0.000217,-0.000009,-0.000000,-0.001036
0.034000,0.013635,0.803108,23.714652,0.745750,0.000231,0.013545,0.300000,-0.061706,-0.004308,-0.000231,-0.000009,-0.000000,-0.001068
0.035000,0.014450,0.826825,23.720152,0.745625,0.000244,0.013942,0.300000,-0.063556,-0.004437,-0.000244,-0.000010,-0.000000,-0.001099
0.036000,0.015288,0.850548,23.725650,0.745500,0.000258,0.014338,0.300000,-0.065406,-0.004566,-0.000258,-0.000010,-0.000000,-0.001131
0.037000,0.016151,0.874277,23.731146,0.745375,0.000273,0.014734,0.300000,-0.067256,-0.004695,-0.000273,-0.000011,-0.000000,-0.001163
0.038000,0.017037,0.898011,23.736641,0.745250,0.000288,0.015131,0.300000,-0.069106,-0.004825,-0.000288,-0.000012,-0.000000,-0.001195
0.039000,0.017947,0.921750,23.742135,0.745125,0.000303,0.015527,0.300000,-0.070958,-0.004954,-0.000303,-0.000012,-0.000000,-0.001226
0.040000,0.018880,0.945495,23.747626,0.745000,0.000319,0.015923,0.300000,-0.072809,-0.005083,-0.000319,-0.000013,-0.000000,-0.001258
0.041000,0.019838,0.969245,23.753116,0.744875,0.000335,0.016319,0.300000,-0.074661,-0.005212,-0.000335,-0.000013,-0.000000,-0.001290
0.042000,0.020819,0.993001,23.758604,0.744750,0.000352,0.016714,0.300000,-0.076513,-0.005342,-0.000352,-0.000014,-0.000000,-0.001321
0.043000,0.021824,1.016762,23.764091,0.744625,0.000369,0.017110,0.300000,-0.078366,-0.005471,-0.000369,-0.000015,-0.000000,-0.001353
0.044000,0.022852,1.040529,23.769576,0.744500,0.000386,0.017506,0.300000,-0.080219,-0.005600,-0.000386,-0.000015,-0.000000,-0.001385
0.045000,0.023905,1.064302,23.775059,0.744375,0.000404,0.017901,0.300000,-0.082073,-0.005730,-0.000404,-0.000016,-0.000000,-0.001416
0.046000,0.024981,1.088079,23.780540,0.744250,0.000422,0.018296,0.300000,-0.083927,-0.005859,-0.000422,-0.000017,-0.000000,-0.001448
0.047000,0.026081,1.111863,23.786020,0.744125,0.000440,0.018692,0.300000,-0.085781,-0.005989,-0.000440,-0.000018,-0.000000,-0.001480
0.048000,0.027205,1.135651,23.791498,0.744000,0.000459,0.019087,0.300000,-0.087636,-0.006118,-0.000459,-0.000018,-0.000000,-0.001511
0.049000,0.028352,1.159446,23.796974,0.743875,0.000478,0.019482,0.300000,-0.089492,-0.006248,-0.000478,-0.000019,-0.000000,-0.001543
0.050000,0.029524,1.183245,23.802449,0.743750,0.000498,0.019877,0.300000,-0.091347,-0.006377,-0.000498,-0.000020,-0.000000,-0.001574
0.051000,0.030719,1.207051,23.807922,0.743625,0.000518,0.020272,0.300000,-0.093203,-0.006507,-0.000518,-0.000021,-0.000000,-0.001606
0.052000,0.031938,1.230861,23.813393,0.743500,0.000539,0.020666,0.300000,-0.095060,-0.006636,-0.000539,-0.000022,-0.000000,-0.001638
0.053000,0.033181,1.254677,23.818862,0.743375,0.000559,0.021061,0.300000,-0.096917,-0.006766,-0.000559,-0.000022,-0.000000,-0.001669
0.054000,0.034447,1.278499,23.824330,0.743250,0.000581,0.021455,0.300000,-0.098774,-0.006896,-0.000581,-0.000023,-0.000000,-0.001701
0.055000,0.035738,1.302326,23.829796,0.743125,0.000602,0.021850,0.300000,-0.100632,-0.007025,-0.000602,-0.000024,-0.000000,-0.001732
0.056000,0.037052,1.326159,23.835260,0.743000,0.000624,0.022244,0.300000,-0.102490,-0.007155,-0.000624,-0.000025,-0.000000,-0.001764
0.057000,0.038390,1.349996,23.840722,0.742875,0.000647,0.022638,0.300000,-0.104349,-0.007285,-0.000647,-0.000026,-0.000000,-0.001795
0.058000,0.039752,1.373840,23.846183,0.742750,0.000670,0.023032,0.300000,-0.106208,-0.007415,-0.000670,-0.000027,-0.000000,-0.001827
0.059000,0.041138,1.397689,23.851642,0.742625,0.000693,0.023426,0.300000,-0.108067,-0.007545,-0.000693,-0.000028,-0.000000,-0.001858
0.060000,0.042547,1.421543,23.857099,0.742500,0.000717,0.023820,0.300000,-0.109927,-0.007674,-0.000717,-0.000029,-0.000000,-0.001890
0.061000,0.043981,1.445403,23.862555,0.742375,0.000741,0.024214,0.300000,-0.111788,-0.007804,-0.000741,-0.000030,-0.000000,-0.001921
0.062000,0.045438,1.469268,23.868009,0.742250,0.000765,0.024608,0.300000,-0.113648,-0.007934,-0.000765,-0.000031,-0.000000,-0.001953
0.063000,0.046919,1.493139,23.873461,0.742125,0.000790,0.025001,0.300000,-0.115509,-0.008064,-0.000790,-0.000032,-0.000000,-0.001984
0.064000,0.048424,1.517015,23.878911,0.742000,0.000815,0.025394,0.300000,-0.117371,-0.008194,-0.000815,-0.000033,-0.000000,-0.002016
0.065000,0.049953,1.540897,23.884359,0.741875,0.000841,0.025788,0.300000,-0.119233,-0.008324,-0.000841,-0.000034,-0.000000,-0.002047
0.066000,0.051506,1.564784,23.889806,0.741750,0.000867,0.026181,0.300000,-0.121095,-0.008454,-0.000867,-0.000035,-0.000000,-0.002079
